Player Hand,Dealer Card,Claude Choice,Gemini Choice,GPT Choice,AI Decision,Claude Mismatch,Gemini Mismatch,ChatGPT Mismatch
"[""J"", ""9""]",6,stand,double down,stand,stand,0,1,0
"[""J"", ""9""]",6,stand,double down,stand,stand,0,1,0
"[""J"", ""9""]",6,stand,double down,stand,stand,0,1,0
"[""J"", ""9""]",6,stand,double down,stand,stand,0,1,0
"[""4"", ""2""]",J,hit,hit,hit,hit,0,0,0
"[""4"", ""2""]",J,hit,hit,hit,hit,0,0,0
"[""4"", ""2""]",J,hit,hit,hit,hit,0,0,0
"[""4"", ""2""]",J,hit,hit,hit,hit,0,0,0
"[""4"", ""2""]",J,hit,hit,hit,hit,0,0,0
"[""4"", ""2""]",J,hit,hit,hit,hit,0,0,0
"[""4"", ""2""]",J,hit,hit,hit,hit,0,0,0
"[""4"", ""2""]",J,hit,hit,hit,hit,0,0,0
"[""4"", ""2""]",J,hit,hit,hit,hit,0,0,0
"[""4"", ""2""]",J,hit,hit,hit,hit,0,0,0
"[""8"", ""4""]",8,hit,hit,hit,hit,0,0,0
"[""8"", ""4""]",8,hit,hit,hit,hit,0,0,0
"[""8"", ""4""]",8,hit,hit,hit,hit,0,0,0
"[""8"", ""4""]",8,hit,hit,hit,hit,0,0,0
"[""8"", ""4""]",8,hit,hit,hit,hit,0,0,0
"[""8"", ""4""]",8,hit,hit,hit,hit,0,0,0
"[""8"", ""4""]",8,hit,hit,hit,hit,0,0,0
"[""8"", ""4""]",8,hit,hit,hit,hit,0,0,0
"[""Q"", ""A""]",8,stand,stand,stand,stand,0,0,0
"[""Q"", ""A""]",8,stand,stand,stand,stand,0,0,0
"[""Q"", ""A""]",8,stand,stand,stand,stand,0,0,0
"[""Q"", ""A""]",8,stand,stand,stand,stand,0,0,0
"[""Q"", ""A""]",8,stand,stand,stand,stand,0,0,0
"[""Q"", ""A""]",8,stand,stand,stand,stand,0,0,0
"[""Q"", ""A""]",8,stand,stand,stand,stand,0,0,0
"[""Q"", ""A""]",8,stand,stand,stand,stand,0,0,0
"[""Q"", ""A""]",8,stand,stand,stand,stand,0,0,0
"[""Q"", ""A""]",8,stand,stand,stand,stand,0,0,0
"[""Q"", ""A""]",8,stand,stand,stand,stand,0,0,0
"[""Q"", ""A""]",8,stand,stand,stand,stand,0,0,0
"[""9"", ""9""]",7,split,split,stand,stand,1,1,0
"[""9"", ""9""]",7,split,split,stand,stand,1,1,0
"[""9"", ""9""]",7,split,split,stand,stand,1,1,0
"[""9"", ""9""]",7,split,split,stand,stand,1,1,0
"[""9"", ""9""]",7,split,split,stand,stand,1,1,0
"[""9"", ""9""]",7,split,split,stand,stand,1,1,0
"[""9"", ""9""]",7,split,split,stand,stand,1,1,0
"[""9"", ""9""]",7,split,split,stand,stand,1,1,0
"[""9"", ""9""]",7,split,split,stand,stand,1,1,0
"[""5"", ""Q""]",4,hit,double down,stand,stand,1,1,0
"[""5"", ""Q""]",4,hit,double down,stand,stand,1,1,0
"[""5"", ""Q""]",4,hit,double down,stand,stand,1,1,0
"[""5"", ""Q""]",4,hit,double down,stand,stand,1,1,0
"[""5"", ""Q""]",4,hit,double down,stand,stand,1,1,0
"[""3"", ""10""]",Q,hit,double down,hit,hit,0,1,0
"[""3"", ""10""]",Q,hit,double down,hit,hit,0,1,0
"[""3"", ""10""]",Q,hit,double down,hit,hit,0,1,0
"[""Q"", ""10""]",9,stand,stand,stand,stand,0,0,0
"[""Q"", ""10""]",9,stand,stand,stand,stand,0,0,0
"[""Q"", ""10""]",9,stand,stand,stand,stand,0,0,0
"[""Q"", ""10""]",9,stand,stand,stand,stand,0,0,0
"[""Q"", ""10""]",9,stand,stand,stand,stand,0,0,0
"[""Q"", ""K""]",J,stand,stand,stand,stand,0,0,0
"[""Q"", ""K""]",J,stand,stand,stand,stand,0,0,0
"[""Q"", ""K""]",J,stand,stand,stand,stand,0,0,0
"[""Q"", ""K""]",J,stand,stand,stand,stand,0,0,0
"[""Q"", ""K""]",J,stand,stand,stand,stand,0,0,0
"[""Q"", ""K""]",J,stand,stand,stand,stand,0,0,0
"[""8"", ""A""]",J,hit,double down,stand,stand,1,1,0
"[""8"", ""A""]",J,hit,double down,stand,stand,1,1,0
"[""8"", ""A""]",J,hit,double down,stand,stand,1,1,0
"[""6"", ""10""]",10,hit,double down,surrender,hit,0,1,1
"[""6"", ""10""]",10,hit,double down,surrender,hit,0,1,1
"[""6"", ""10""]",10,hit,double down,surrender,hit,0,1,1
"[""6"", ""10""]",10,hit,double down,surrender,hit,0,1,1
"[""6"", ""10""]",10,hit,double down,surrender,hit,0,1,1
