Player Hand,Dealer Card,Claude Choice,Gemini Choice,GPT Choice
"[""J"", ""9""]",6,stand,double down,stand
"[""J"", ""9""]",6,stand,double down,stand
"[""J"", ""9""]",6,stand,double down,stand
"[""J"", ""9""]",6,stand,double down,stand
"[""4"", ""2""]",J,hit,hit,hit
"[""4"", ""2""]",J,hit,hit,hit
"[""4"", ""2""]",J,hit,hit,hit
"[""4"", ""2""]",J,hit,hit,hit
"[""4"", ""2""]",J,hit,hit,hit
"[""4"", ""2""]",J,hit,hit,hit
"[""4"", ""2""]",J,hit,hit,hit
"[""4"", ""2""]",J,hit,hit,hit
"[""4"", ""2""]",J,hit,hit,hit
"[""4"", ""2""]",J,hit,hit,hit
"[""8"", ""4""]",8,hit,hit,hit
"[""8"", ""4""]",8,hit,hit,hit
"[""8"", ""4""]",8,hit,hit,hit
"[""8"", ""4""]",8,hit,hit,hit
"[""8"", ""4""]",8,hit,hit,hit
"[""8"", ""4""]",8,hit,hit,hit
"[""8"", ""4""]",8,hit,hit,hit
"[""8"", ""4""]",8,hit,hit,hit
"[""Q"", ""A""]",8,stand,stand,stand
"[""Q"", ""A""]",8,stand,stand,stand
"[""Q"", ""A""]",8,stand,stand,stand
"[""Q"", ""A""]",8,stand,stand,stand
"[""Q"", ""A""]",8,stand,stand,stand
"[""Q"", ""A""]",8,stand,stand,stand
"[""Q"", ""A""]",8,stand,stand,stand
"[""Q"", ""A""]",8,stand,stand,stand
"[""Q"", ""A""]",8,stand,stand,stand
"[""Q"", ""A""]",8,stand,stand,stand
"[""Q"", ""A""]",8,stand,stand,stand
"[""Q"", ""A""]",8,stand,stand,stand
"[""9"", ""9""]",7,split,split,stand
"[""9"", ""9""]",7,split,split,stand
"[""9"", ""9""]",7,split,split,stand
"[""9"", ""9""]",7,split,split,stand
"[""9"", ""9""]",7,split,split,stand
"[""9"", ""9""]",7,split,split,stand
"[""9"", ""9""]",7,split,split,stand
"[""9"", ""9""]",7,split,split,stand
"[""9"", ""9""]",7,split,split,stand
"[""5"", ""Q""]",4,hit,double down,stand
"[""5"", ""Q""]",4,hit,double down,stand
